Station	CRE	CRE	CRE	CRE	BCN	BCN	BCN	BCN
Parameter	AOT870	AOT440	a440-870	Reff	AOT870	AOT440	a440-870	Reff
count	  1106.000	  1106.000	  1106.000	  1106.000	  1584.000	  1584.000	  1584.000	  1584.000
mean	     0.111	     0.225	     1.234	     0.386	     0.075	     0.184	     1.411	     0.327
std	     0.101	     0.122	     0.483	     0.182	     0.066	     0.121	     0.315	     0.111
min	     0.010	     0.033	     0.023	     0.157	     0.003	     0.017	     0.158	     0.149
25%	     0.058	     0.141	     0.908	     0.252	     0.035	     0.091	     1.259	     0.247
50%	     0.083	     0.208	     1.329	     0.331	     0.061	     0.164	     1.472	     0.301
75%	     0.123	     0.279	     1.628	     0.465	     0.096	     0.249	     1.628	     0.383
max	     1.516	     1.777	     2.106	     1.264	     0.788	     1.032	     2.083	     1.127
